DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive,N count - Postsecondary Enrollment Rate - 6 Months,Metric Value - Postsecondary Enrollment Rate - 6 Months,N count - 4-Year High School Persistence Rate,Metric Value - 4-Year High School Persistence Rate,Metric Value - 4-Year Graduation Rate - All Students,N count - 4-Year Graduation Rate - All Students,Metric Value - 4-Year College and Career Readiness - All Students,readiness_gap
23K697,Teachers Preparatory High School,182,Fair,0.72,0.92,,0.33,0.896,0.802,0.9,37.0,0.324,43.0,0.814,0.698,43.0,28.3,-27.602
24Q236,International High School for Health Sciences,295,Good,0.96,0.83,,0.502,0.525,0.897,0.94,34.0,0.706,76.0,0.882,0.829,76.0,42.1,-41.271
24Q264,Academy of Finance and Enterprise,863,Good,0.82,0.84,0.778,0.075,0.713,0.895,0.87,226.0,0.845,205.0,0.902,0.849,205.0,62.7,-61.851000000000006
24Q267,High School of Applied Communication,376,Fair,0.73,0.79,0.842,0.146,0.766,0.858,0.74,86.0,0.651,95.0,0.916,0.905,95.0,49.3,-48.394999999999996
24Q293,Civic Leadership Academy,565,Good,0.89,0.9,0.885,0.168,0.804,0.895,0.91,122.0,0.672,148.0,0.966,0.919,148.0,52.7,-51.781000000000006
24Q296,Pan American International High School,510,Excellent,0.98,0.96,,0.769,0.512,0.95,0.93,87.0,0.529,166.0,0.976,0.976,166.0,57.7,-56.724000000000004
24Q299,Bard High School Early College Queens,652,Excellent,0.86,0.85,0.571,0.06,0.492,0.939,0.88,168.0,0.94,168.0,0.994,0.982,168.0,94.3,-93.318
24Q455,Newtown High School,2088,Fair,0.92,0.81,0.892,0.192,0.662,0.873,0.9,462.0,0.504,562.0,0.899,0.799,561.0,48.3,-47.501
24Q485,Grover Cleveland High School,1716,Fair,0.84,0.8,0.844,0.187,0.682,0.833,0.85,319.0,0.495,456.0,0.888,0.798,456.0,44.5,-43.702
24Q520,Middle College High School at LaGuardia Community College,481,Excellent,0.89,0.86,0.775,0.071,0.711,0.927,0.93,112.0,0.875,91.0,0.967,0.945,91.0,75.7,-74.75500000000001
24Q530,International High School at LaGuardia Community College,509,Excellent,0.71,0.97,0.854,0.426,0.523,0.904,0.99,120.0,0.892,120.0,0.933,0.9,120.0,55.2,-54.300000000000004
24Q550,High School for Arts and Business,716,Excellent,0.92,0.79,0.835,0.13,0.767,0.892,0.89,171.0,0.766,180.0,0.978,0.972,180.0,66.8,-65.828
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",446,Good,0.63,0.82,0.759,0.085,0.706,0.872,0.82,102.0,0.716,112.0,0.929,0.911,112.0,57.4,-56.489
24Q585,Maspeth High School,1000,Excellent,0.89,0.78,0.734,0.073,0.66,0.9,0.84,260.0,0.735,223.0,0.978,0.946,223.0,71.3,-70.354
24Q600,Queens Technical High School,1290,Fair,0.86,0.8,0.842,0.099,0.788,0.911,0.92,299.0,0.669,295.0,0.953,0.847,295.0,57.7,-56.853
24Q610,Aviation Career & Technical Education High School,2080,Excellent,0.84,0.78,0.711,0.063,0.646,0.953,0.87,390.0,0.859,444.0,0.977,0.959,444.0,77.0,-76.041
25Q240,Veritas Academy,653,Fair,0.87,0.85,0.82,0.135,0.672,0.862,0.84,140.0,0.679,172.0,0.924,0.86,172.0,54.5,-53.64
25Q241,Queens High School for Language Studies,447,Excellent,0.86,0.81,0.819,0.092,0.709,0.911,0.94,102.0,0.735,107.0,1.0,0.935,107.0,76.1,-75.16499999999999
25Q252,"Queens School of Inquiry, The",351,Excellent,0.79,0.87,0.609,0.066,0.544,0.898,0.91,83.0,0.904,85.0,0.988,0.988,85.0,77.3,-76.312
25Q263,Flushing International High School,410,Excellent,0.95,0.83,,0.449,0.605,0.873,0.92,75.0,0.533,90.0,0.956,0.911,90.0,57.1,-56.189
25Q281,East-West School of International Studies,379,Excellent,0.9,0.81,0.791,0.061,0.699,0.928,0.86,104.0,0.798,95.0,0.968,0.958,95.0,73.5,-72.542
25Q285,World Journalism Preparatory: A College Board School,357,Good,0.87,0.82,0.498,0.045,0.417,0.881,0.8,91.0,0.747,85.0,0.988,0.965,85.0,58.9,-57.934999999999995
25Q425,John Bowne High School,2782,Fair,0.84,,0.827,0.122,0.691,0.869,0.85,650.0,0.575,689.0,0.885,0.794,689.0,53.5,-52.706
25Q460,Flushing High School,1634,Fair,0.63,0.76,0.908,0.193,0.722,0.855,0.83,352.0,0.599,441.0,0.873,0.787,441.0,43.9,-43.113
25Q525,Townsend Harris High School,1342,Excellent,0.85,0.86,0.485,0.034,0.412,0.943,0.9,344.0,0.983,377.0,0.992,0.987,377.0,94.0,-93.013
25Q670,Robert F. Kennedy Community High School,589,Good,0.77,0.84,0.732,0.095,0.645,0.872,0.83,127.0,0.677,130.0,0.931,0.846,130.0,58.9,-58.054
26Q315,Business Technology Early College High School,599,Excellent,0.88,0.85,0.646,0.09,0.578,0.897,0.93,117.0,0.803,133.0,0.977,0.947,133.0,58.5,-57.553
26Q415,Benjamin N. Cardozo High School,2882,Good,0.84,0.75,0.628,0.057,0.543,0.886,0.85,802.0,0.759,713.0,0.945,0.906,713.0,66.8,-65.89399999999999
26Q430,Francis Lewis High School,4577,Good,0.84,0.79,0.668,0.069,0.557,0.917,0.83,1057.0,0.787,1104.0,0.954,0.901,1104.0,71.9,-70.99900000000001
26Q435,Martin Van Buren High School,1140,Fair,0.71,0.84,0.738,0.094,0.619,0.902,0.82,257.0,0.65,286.0,0.892,0.825,286.0,48.3,-47.474999999999994
26Q495,Bayside High School,2980,Excellent,0.79,0.77,0.646,0.075,0.556,0.922,0.8,725.0,0.81,821.0,0.987,0.972,821.0,79.1,-78.128
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",841,Good,0.67,0.83,0.623,0.065,0.561,0.867,0.8,189.0,0.762,210.0,0.981,0.919,210.0,51.4,-50.481
27Q260,Frederick Douglass Academy VI High School,319,Fair,0.83,0.8,0.918,0.213,0.749,0.811,0.87,54.0,0.444,83.0,0.807,0.783,83.0,31.8,-31.017
27Q262,Channel View School for Research,845,Good,0.73,0.85,0.791,0.096,0.712,0.854,0.84,188.0,0.755,203.0,0.956,0.926,203.0,53.0,-52.074
27Q302,"Queens High School for Information, Research, and Technology",507,Excellent,0.87,0.79,0.884,0.085,0.813,0.845,0.91,123.0,0.642,129.0,0.899,0.884,129.0,51.1,-50.216
27Q308,Robert H. Goddard High School of Communication Arts and Technology,610,Excellent,0.84,0.87,0.713,0.051,0.661,0.9,0.93,138.0,0.826,143.0,0.993,0.986,143.0,65.4,-64.414
27Q309,Academy of Medical Technology: A College Board School,433,Fair,0.86,0.79,0.91,0.134,0.813,0.79,0.9,102.0,0.539,117.0,0.863,0.838,117.0,42.5,-41.662
27Q314,Epic High School - South,436,Fair,0.63,,0.759,0.083,0.683,0.884,0.88,89.0,0.494,110.0,0.918,0.873,110.0,43.0,-42.127
27Q323,Scholars' Academy,590,Excellent,0.85,0.9,0.475,0.02,0.397,0.928,0.87,152.0,0.908,137.0,1.0,1.0,137.0,89.5,-88.5
27Q324,Rockaway Park High School for Environmental Sustainability,233,Fair,0.75,0.71,,0.202,0.794,0.77,0.83,60.0,0.367,67.0,0.791,0.776,67.0,32.4,-31.624
27Q334,Epic High School - North,385,Good,,,0.818,0.073,0.719,0.866,,103.0,0.631,118.0,0.941,0.924,118.0,51.5,-50.576
27Q351,Rockaway Collegiate High School,282,Fair,0.84,0.8,0.916,0.209,0.809,0.77,0.88,62.0,0.323,79.0,0.772,0.709,79.0,34.0,-33.291
27Q400,August Martin High School,646,Good,0.74,0.83,0.784,0.193,0.676,0.838,0.8,122.0,0.451,142.0,0.923,0.901,142.0,49.4,-48.498999999999995
27Q475,Richmond Hill High School,1843,Good,0.73,0.8,0.837,0.098,0.721,0.904,0.86,385.0,0.53,436.0,0.92,0.869,436.0,44.5,-43.631
27Q480,John Adams High School,2428,Good,,0.82,0.8,0.124,0.682,0.861,,591.0,0.536,619.0,0.901,0.877,619.0,54.1,-53.223
27Q650,"High School for Construction Trades, Engineering and Architecture",1076,Excellent,0.88,0.8,0.682,0.035,0.628,0.91,0.88,272.0,0.805,244.0,0.992,0.988,244.0,77.5,-76.512
28Q157,J.H.S. 157 Stephen A. Halsey,7,,0.93,0.8,0.894,0.0,0.714,,0.87,,,,,,,,
28Q167,Metropolitan Expeditionary Learning School,474,Good,0.93,0.85,0.668,0.049,0.593,0.885,0.77,101.0,0.782,110.0,0.991,0.982,110.0,61.3,-60.318
28Q284,York Early College Academy,327,Excellent,0.91,0.84,0.554,0.04,0.492,0.907,0.9,86.0,0.849,75.0,1.0,1.0,75.0,84.6,-83.6
28Q310,Queens Collegiate: A College Board School,455,Fair,0.65,0.87,0.779,0.121,0.648,0.885,0.83,100.0,0.68,105.0,0.914,0.895,105.0,50.7,-49.805
28Q325,Hillside Arts & Letters Academy,405,Good,0.9,0.81,0.804,0.16,0.672,0.824,0.91,97.0,0.701,93.0,0.935,0.903,93.0,49.0,-48.097
28Q328,High School for Community Leadership,492,Excellent,0.98,0.82,0.74,0.114,0.634,0.864,0.88,116.0,0.75,120.0,0.992,0.983,120.0,61.3,-60.317
28Q350,Jamaica Gateway to the Sciences,525,Good,0.61,0.79,0.776,0.124,0.67,0.894,0.85,126.0,0.817,137.0,0.912,0.883,137.0,56.7,-55.817
28Q440,Forest Hills High School,3415,Good,,,0.693,0.085,0.602,0.927,,892.0,0.756,835.0,0.952,0.904,835.0,61.2,-60.296
28Q505,Hillcrest High School,2352,Good,0.89,0.77,0.832,0.222,0.685,0.873,0.88,600.0,0.615,609.0,0.9,0.849,609.0,49.4,-48.551
28Q620,Thomas A. Edison Career and Technical Education High School,2138,Excellent,0.69,0.81,0.66,0.062,0.593,0.921,0.88,582.0,0.856,480.0,0.981,0.95,480.0,74.7,-73.75
28Q680,Queens Gateway to Health Sciences Secondary School,409,Excellent,0.66,0.84,0.613,0.059,0.54,0.935,0.82,90.0,0.956,77.0,1.0,1.0,77.0,88.5,-87.5
28Q686,Queens Metropolitan High School,1068,Good,0.77,0.83,0.581,0.071,0.473,0.908,0.92,219.0,0.689,240.0,0.954,0.921,240.0,66.8,-65.87899999999999
28Q687,Queens High School for the Sciences at York College,494,Excellent,0.5,0.75,0.5,0.02,0.433,0.966,0.86,143.0,0.944,129.0,1.0,1.0,129.0,99.1,-98.1
28Q690,High School for Law Enforcement and Public Safety,552,Fair,0.87,0.83,0.84,0.185,0.745,0.907,0.84,108.0,0.519,129.0,0.946,0.891,129.0,34.9,-34.009
28Q896,"Young Women's Leadership School, Queens",283,Excellent,0.75,0.84,0.747,0.106,0.678,0.899,0.81,73.0,0.863,67.0,0.985,0.985,67.0,79.3,-78.315
29Q243,Institute for Health Professions at Cambria Heights,462,Excellent,0.87,0.77,0.715,0.091,0.639,0.868,0.9,121.0,0.587,109.0,0.982,0.972,109.0,55.0,-54.028
29Q248,Queens Preparatory Academy,326,Fair,0.62,,0.795,0.166,0.663,0.872,0.82,68.0,0.544,78.0,0.91,0.744,78.0,40.4,-39.656
29Q259,Pathways College Preparatory School: A College Board School,461,Excellent,0.72,0.85,0.652,0.093,0.568,0.953,0.86,70.0,0.771,88.0,0.977,0.966,88.0,62.8,-61.833999999999996
29Q265,Excelsior Preparatory High School,478,Good,0.94,0.83,0.773,0.146,0.661,0.903,0.84,113.0,0.575,145.0,0.945,0.917,145.0,49.6,-48.683
29Q272,George Washington Carver High School for the Sciences,425,Fair,0.8,0.85,0.771,0.162,0.673,0.93,0.85,76.0,0.553,124.0,0.96,0.855,124.0,45.1,-44.245000000000005
29Q283,Preparatory Academy for Writers: A College Board School,349,Good,0.8,0.87,0.72,0.169,0.61,0.912,0.82,81.0,0.679,83.0,0.976,0.892,83.0,58.2,-57.308
29Q313,Benjamin Franklin High School for Finance & Information Technology,374,Good,0.81,0.87,0.747,0.136,0.639,0.856,0.86,77.0,0.545,82.0,0.927,0.89,82.0,50.2,-49.31
29Q326,Cambria Heights Academy,356,Good,0.91,0.87,0.745,0.11,0.674,0.866,0.87,85.0,0.647,81.0,0.951,0.901,81.0,45.5,-44.599
29Q327,Eagle Academy for Young Men III,326,Good,0.51,,0.697,0.12,0.635,0.983,0.86,47.0,0.596,57.0,0.982,0.912,57.0,48.7,-47.788000000000004
29Q492,"Mathematics, Science Research and Technology Magnet High School",512,Good,0.91,0.83,0.732,0.123,0.627,0.857,0.92,75.0,0.507,130.0,0.915,0.862,130.0,48.3,-47.437999999999995
29Q498,"Health, Arts, Robotics, and Technology High School",621,Good,,0.83,0.733,0.119,0.657,0.835,,109.0,0.706,166.0,0.904,0.855,166.0,49.5,-48.645
30Q258,Energy Tech High School,490,Good,0.77,0.88,0.801,0.092,0.729,0.914,0.85,109.0,0.789,103.0,0.951,0.932,103.0,62.1,-61.168
30Q286,"Young Women's Leadership School, Astoria",331,Excellent,,0.81,0.756,0.051,0.698,0.898,,72.0,0.903,70.0,0.971,0.943,70.0,70.5,-69.557
30Q301,Academy for Careers in Television and Film,548,Excellent,0.86,0.9,0.731,0.089,0.662,0.91,0.84,136.0,0.779,124.0,0.992,0.976,124.0,71.4,-70.424
30Q367,Motion Picture Technical High School,182,,0.85,0.9,0.783,0.104,0.709,0.902,0.84,,,,,,,,
30Q417,Gotham Tech High School,271,,0.51,0.76,0.766,0.151,0.69,0.93,0.74,,,,,,,,
30Q445,William Cullen Bryant High School,1979,Fair,0.69,,0.89,0.164,0.739,0.835,0.79,496.0,0.552,549.0,0.911,0.831,549.0,47.3,-46.468999999999994
30Q450,Long Island City High School,1632,Fair,0.69,0.73,0.9,0.244,0.8,0.845,0.83,506.0,0.567,441.0,0.898,0.782,441.0,49.7,-48.918000000000006
30Q501,Frank Sinatra School of the Arts High School,849,Excellent,0.83,0.87,0.357,0.025,0.269,0.91,0.86,202.0,0.832,215.0,1.0,1.0,215.0,81.2,-80.2
30Q502,Information Technology High School,781,Good,0.82,0.82,0.866,0.123,0.81,0.905,0.87,216.0,0.644,195.0,0.918,0.877,195.0,56.1,-55.223
30Q555,ATLAS,1161,Fair,0.8,0.76,,0.538,0.632,0.735,0.86,423.0,0.369,320.0,0.738,0.678,320.0,35.4,-34.722
30Q575,Academy of American Studies,1213,Excellent,,,0.587,0.046,0.525,0.904,,381.0,0.84,354.0,0.96,0.932,354.0,72.4,-71.468
30Q580,Baccalaureate School for Global Education,400,Excellent,0.73,0.85,0.5,0.028,0.44,0.948,0.8,95.0,0.958,88.0,1.0,0.989,88.0,83.6,-82.61099999999999
31R028,The Eagle Academy for Young Men of Staten Island,97,Good,0.8,0.94,0.854,0.103,0.804,0.815,0.91,28.0,0.5,19.0,1.0,0.789,19.0,36.1,-35.311
31R047,CSI High School for International Studies,521,Excellent,0.91,0.78,0.555,0.031,0.489,0.942,0.84,137.0,0.876,143.0,1.0,1.0,143.0,80.7,-79.7
31R064,Gaynor McCown Expeditionary Learning School,537,Excellent,0.98,0.84,0.509,0.02,0.447,0.897,0.89,109.0,0.835,128.0,0.992,0.992,128.0,67.2,-66.208
31R080,The Michael J. Petrides School,490,Good,0.92,0.89,0.625,0.041,0.567,0.892,0.86,116.0,0.733,130.0,0.954,0.938,130.0,61.0,-60.062
31R440,New Dorp High School,3060,Fair,0.82,0.76,0.647,0.072,0.575,0.903,0.85,789.0,0.603,802.0,0.933,0.868,802.0,59.8,-58.931999999999995
31R445,Port Richmond High School,1700,Fair,0.93,0.81,0.828,0.124,0.745,0.832,0.88,467.0,0.465,461.0,0.842,0.816,461.0,42.2,-41.384
31R450,Curtis High School,2425,Good,0.88,0.78,0.81,0.128,0.723,0.824,0.87,507.0,0.785,556.0,0.845,0.793,556.0,50.5,-49.707
31R455,Tottenville High School,3754,Good,0.92,0.77,0.452,0.034,0.388,0.918,0.86,1024.0,0.734,933.0,0.975,0.959,933.0,66.6,-65.64099999999999
31R460,Susan E. Wagner High School,2740,Good,0.77,0.77,0.64,0.061,0.561,0.935,0.85,809.0,0.714,752.0,0.935,0.886,752.0,58.6,-57.714
31R600,Ralph R. McKee Career and Technical Education High School,625,Good,,,0.815,0.086,0.762,0.845,,162.0,0.401,149.0,0.913,0.846,149.0,52.2,-51.354000000000006
31R605,Staten Island Technical High School,1425,Excellent,0.85,0.72,0.462,0.023,0.385,0.963,0.92,351.0,0.883,357.0,0.997,0.997,357.0,98.2,-97.203
32K168,The Brooklyn School for Math and Research,337,Good,0.86,0.86,0.891,0.199,0.724,0.895,0.84,89.0,0.742,75.0,0.973,0.973,75.0,59.6,-58.627
32K403,Academy for Excellence in Leadership,277,Fair,0.62,0.83,0.944,0.336,0.718,0.828,0.85,68.0,0.456,85.0,0.894,0.871,85.0,38.1,-37.229
32K545,EBC High School for Public Service - Bushwick,413,Fair,0.76,0.82,0.95,0.269,0.789,0.801,0.82,116.0,0.302,90.0,0.978,0.978,90.0,35.3,-34.321999999999996
32K549,The Brooklyn School for Social Justice,268,Fair,0.64,0.8,0.937,0.317,0.757,0.834,0.87,75.0,0.32,74.0,0.919,0.905,74.0,37.0,-36.095
32K552,The Academy of Urban Planning and Engineering,419,Good,0.92,0.86,0.874,0.212,0.74,0.9,0.86,105.0,0.838,99.0,0.97,0.97,99.0,55.7,-54.730000000000004
32K554,All City Leadership Secondary School,238,Excellent,0.94,0.84,0.728,0.063,0.66,0.913,0.93,65.0,0.754,59.0,1.0,1.0,59.0,67.2,-66.2
32K556,Bushwick Leaders High School for Academic Excellence,359,Fair,0.69,0.9,0.933,0.315,0.758,0.821,0.81,95.0,0.358,88.0,0.818,0.75,88.0,29.8,-29.05
84K037,Beginning with Children Charter School II,277,,,0.94,0.877,0.112,0.791,0.948,,,,3.0,,,3.0,,
84K356,Achievement First Crown Heights Charter School,688,Fair,,,0.811,0.089,0.744,0.914,,133.0,0.722,144.0,0.979,0.84,144.0,,
84K358,Achievement First East New York Charter School,461,,,,0.804,0.08,0.731,0.919,,113.0,0.743,,,,,,
84K367,Success Academy Charter School - Bed Stuy 1,219,,,,0.621,0.068,0.525,,,1.0,,,,,,,
84K406,"EMBER Charter School for Mindful Education, Innovation and Transformation",85,Fair,0.91,0.92,0.908,0.2,0.859,0.725,0.9,15.0,0.467,38.0,0.789,0.553,38.0,,
84K473,Williamsburg Charter High School,662,Fair,0.84,0.78,0.876,0.142,0.795,0.769,0.83,204.0,0.51,215.0,0.921,0.837,215.0,,
84K517,Uncommon Bed-Stuy West Charter School NYC,504,Good,,,0.799,0.099,0.7,0.864,,107.0,0.794,119.0,0.966,0.874,119.0,,
84K593,Uncommon Excellence Boys Charter School NYC,6,,,,0.896,0.167,0.833,,,,,,,,,,
84K608,Uncommon Kings Charter School NYC,522,Fair,,,0.854,0.13,0.776,0.89,,105.0,0.714,129.0,1.0,0.899,129.0,,
84K626,Achievement First Brownsville Charter School,29,,,,0.546,0.103,0.448,,,77.0,0.818,,,,,,
84K652,Brooklyn Ascend Charter School,261,Needs Improvement,,,0.838,0.123,0.747,0.933,,86.0,0.616,48.0,0.979,0.771,48.0,,
84K680,Achievement First Aspire Charter School,371,Fair,,,0.86,0.135,0.765,0.888,,,,59.0,0.966,0.966,59.0,,
84K693,Northside Charter High School,443,Needs Improvement,0.46,0.64,0.862,0.135,0.783,0.794,0.79,113.0,0.469,120.0,0.85,0.725,120.0,,
84K712,Uncommon Excellence Girls Charter School NYC,492,Fair,,,0.797,0.1,0.717,0.907,,124.0,0.734,107.0,0.879,0.682,107.0,,
84K730,Summit Academy Charter School,187,Good,0.76,0.93,0.932,0.326,0.85,0.992,0.86,38.0,0.579,46.0,0.957,0.674,46.0,,
84K733,"Math, Engineering, and Science Academy Charter High School",513,Good,,,0.895,0.195,0.774,0.896,,125.0,0.672,122.0,0.967,0.91,122.0,,
84K738,United Charter High School for Advanced Math and Science lll,283,Excellent,0.79,0.89,0.823,0.138,0.735,0.906,0.89,95.0,0.832,81.0,1.0,1.0,81.0,,
84K744,Coney Island Preparatory Public Charter School,377,Good,0.83,0.88,0.844,0.045,0.782,0.866,0.8,71.0,0.831,83.0,0.976,0.904,83.0,,
84K757,Unity Preparatory Charter School of Brooklyn,265,Good,,,0.85,0.143,0.77,,,75.0,0.84,62.0,0.984,0.968,62.0,,
84K775,Uncommon Brownsville North Charter School NYC,561,Fair,,,0.7,0.093,0.613,0.899,,108.0,0.815,91.0,0.978,0.879,91.0,,
84K782,Bedford Stuyvesant New Beginnings Charter School,77,,,,,0.286,0.831,0.867,,,,,,,,,
84K803,Brooklyn Laboratory Charter School,601,Needs Improvement,0.83,,0.829,0.178,0.772,0.727,0.8,113.0,0.478,117.0,0.855,0.795,117.0,,
84K892,Brooklyn Emerging Leaders Academy Charter School,218,Good,,,0.76,0.142,0.674,0.87,,59.0,0.763,60.0,0.967,0.917,60.0,,
84K928,Brooklyn Prospect Charter School - CSD 15.2,729,Good,,,0.432,0.049,0.346,0.975,,146.0,0.726,109.0,1.0,0.972,109.0,,
84M202,Great Oaks Kathleen Sherry Charter School,196,Fair,0.84,0.92,0.843,0.179,0.755,0.832,0.89,1.0,,54.0,0.944,0.87,54.0,,
84M204,Capital Preparatory Harlem Charter School,142,Fair,0.73,0.8,0.921,0.106,0.866,0.831,0.61,35.0,0.571,27.0,0.852,0.815,27.0,,
84M279,Opportunity Charter School,230,Fair,,,0.948,0.126,0.913,0.995,,44.0,0.455,56.0,0.964,0.911,56.0,,
84M284,Harlem Children's Zone Promise Academy Charter School,256,Excellent,0.67,0.87,0.867,0.164,0.77,0.926,0.86,53.0,0.943,59.0,1.0,0.983,59.0,,
84M295,School in the Square Public Charter School,112,,0.71,0.91,0.858,0.152,0.777,0.916,0.79,,,,,,,,
84M341,Harlem Children's Zone Promise Academy II Charter School,213,Good,0.69,0.88,0.867,0.113,0.793,0.907,0.87,52.0,0.846,44.0,0.977,0.932,44.0,,
84M350,Democracy Preparatory Charter School,426,Fair,,0.89,0.87,0.134,0.777,0.799,,82.0,0.646,99.0,0.929,0.869,99.0,,
84M351,Success Academy Charter School - Harlem 1,884,Good,,,0.643,0.066,0.555,,,252.0,0.575,71.0,1.0,0.93,71.0,,
84M353,New Heights Academy Charter School,420,Good,0.85,0.9,0.933,0.138,0.86,0.897,0.84,89.0,0.775,96.0,0.958,0.906,96.0,,
84M389,KIPP Beyond Charter School,254,,0.96,0.89,0.854,0.094,0.791,0.933,0.85,,,,,,,,
84M433,Innovation Charter High School,401,Needs Improvement,0.63,0.82,0.924,0.2,0.863,0.765,0.84,101.0,0.515,98.0,0.908,0.837,98.0,,
84M478,Inwood Academy for Leadership Charter School,527,Fair,0.77,0.91,0.896,0.161,0.827,0.913,0.85,117.0,0.726,123.0,0.976,0.87,123.0,,
84M481,Democracy Preparatory Harlem Charter School,369,Fair,0.69,0.86,0.871,0.122,0.808,0.819,0.8,64.0,0.688,74.0,0.865,0.703,74.0,,
84M518,East Harlem Scholars Academy Charter School,406,Needs Improvement,,,0.937,0.17,0.874,0.778,,102.0,0.382,63.0,0.937,0.714,63.0,,
84M522,Broome Street Academy Charter High School,262,Needs Improvement,,0.87,0.923,0.229,0.859,0.721,,101.0,0.297,94.0,0.883,0.67,94.0,,
84M708,Harlem Prep Charter School,408,Fair,,,0.925,0.152,0.858,0.713,,95.0,0.547,100.0,0.86,0.73,100.0,,
84M709,Harlem Village Academy North Charter School,205,Good,,,0.832,0.102,0.746,0.886,,34.0,0.794,51.0,1.0,0.961,51.0,,
84Q320,United Charter High School for Advanced Math and Science lV,361,Good,0.69,0.87,0.666,0.066,0.607,0.896,0.84,106.0,0.642,100.0,0.99,0.98,100.0,,
84Q340,Challenge Preparatory Charter School,302,Fair,0.79,0.88,0.827,0.116,0.745,0.853,0.82,46.0,0.609,58.0,0.983,0.931,58.0,,
84Q373,United Charter High School for the Humanities lV,187,Good,0.87,0.86,0.909,0.144,0.872,0.85,0.91,50.0,0.64,58.0,0.931,0.914,58.0,,
84Q380,Forte Preparatory Academy Charter School,202,,0.65,0.89,0.829,0.134,0.698,,0.86,,,,,,,,
84Q414,Renaissance Charter School 2,173,,0.81,0.92,0.823,0.26,0.642,0.991,0.84,,,,,,,,
84Q705,Renaissance Charter School,269,Good,0.84,0.88,0.722,0.082,0.658,0.906,0.84,53.0,0.887,59.0,0.983,0.847,59.0,,
84R067,John W. Lavelle Preparatory Charter School,165,Good,0.81,0.88,0.768,0.061,0.709,0.869,0.74,39.0,0.718,51.0,0.961,0.922,51.0,,
84R070,Lois and Richard Nicotra Early College Charter School,192,Good,,,0.758,0.083,0.682,0.883,,37.0,0.622,48.0,0.979,0.958,48.0,,
84R083,Richmond Preparatory Charter School,58,,,0.66,0.703,0.086,0.655,0.898,,,,,,,,,
84X185,Pharos Academy Charter School,231,Excellent,0.84,0.91,0.9,0.126,0.831,0.924,0.82,50.0,0.72,57.0,1.0,0.947,57.0,,
84X202,United Charter High School for Advanced Math and Science ll,488,Excellent,0.84,0.88,0.901,0.113,0.842,0.909,0.88,112.0,0.759,114.0,0.991,0.982,114.0,,
84X208,United Charter High School for the Humanities II,248,Good,0.77,0.9,0.931,0.21,0.871,0.787,0.82,105.0,0.629,83.0,0.964,0.88,83.0,,
84X309,South Bronx Charter School for International Cultures and the Arts,96,,,0.91,0.895,0.219,0.74,0.871,,,,1.0,,,1.0,,
84X345,Leaders In Our Neighborhood Charter School,296,Good,0.76,0.93,0.902,0.149,0.841,0.885,0.87,75.0,0.68,69.0,0.986,0.942,69.0,,
84X347,International Leadership Charter High School,319,Good,,,0.889,0.179,0.809,0.914,,59.0,0.746,61.0,1.0,0.934,61.0,,
84X380,Success Academy Charter School - Bronx 3,441,Fair,,,0.791,0.077,0.698,,,9.0,,91.0,0.967,0.912,91.0,,
84X387,Brilla College Preparatory Charter School,92,,,,0.925,0.163,0.88,0.909,,,,2.0,,,2.0,,
84X393,University Prep Charter High School,446,Excellent,0.79,0.63,0.868,0.099,0.796,0.924,0.93,82.0,0.866,84.0,1.0,0.988,84.0,,
84X395,"NYC Charter High School for Architecture, Engineering and Construction Industries",454,Good,0.88,1.0,0.903,0.159,0.844,0.87,0.92,98.0,0.714,109.0,0.991,0.954,109.0,,
84X429,Charter High School for Law and Social Justice,473,Fair,0.94,0.91,,0.195,0.879,0.802,0.92,95.0,0.621,116.0,0.957,0.845,116.0,,
84X460,Atmosphere Academy Public Charter School,772,Good,0.79,0.93,0.847,0.141,0.762,0.894,0.85,2.0,,70.0,0.929,0.9,70.0,,
84X461,Nuasin Next Generation Charter School,280,Fair,0.76,0.88,0.943,0.154,0.882,0.843,0.86,50.0,0.52,47.0,0.979,0.915,47.0,,
84X465,Boys Preparatory Charter School of New York,59,,,,0.927,0.085,0.898,,,,,,,,,,
84X471,American Dream Charter School,341,Excellent,0.85,0.91,,0.202,0.865,0.885,0.83,73.0,0.863,63.0,0.984,0.952,63.0,,
84X482,Dr. Richard Izquierdo Health and Science Charter School,426,Good,0.84,0.87,,0.122,0.89,0.83,0.82,101.0,0.812,103.0,0.932,0.883,103.0,,
84X487,Girls Preparatory Charter School of the Bronx,74,,,,0.894,0.162,0.851,,,,,,,,,,
84X488,The Equality Charter School,387,Fair,0.88,0.92,0.761,0.054,0.682,0.901,0.86,97.0,0.546,98.0,0.929,0.847,98.0,,
84X539,United Charter High School for Advanced Math and Science,415,Good,0.8,0.81,0.887,0.106,0.827,0.872,0.88,121.0,0.711,110.0,0.964,0.945,110.0,,
84X553,United Charter High School for the Humanities,333,Good,0.77,0.96,0.918,0.153,0.865,0.867,0.87,123.0,0.724,97.0,0.99,0.979,97.0,,
